word,frequency
informe,525
comisión,2288
nacional,825
sobre,1003
prisión,552
política,853
y,12618
tortura,938
5,188
índice,1
capitulo,22
i,90
presentación,22
7,92
ii,122
funcionamiento,91
de,41417
la,18581
13,162
15,168
marco,57
jurídico,43
conceptos,19
definiciones,34
17,182
estructura,22
26,129
procesos,84
trabajo,220
37,35
desarrollo,51
las,5828
tareas,37
48,36
resultados,22
79,5
anexos,46
89,5
iii,57
contexto,87
167,3
introducción,35
169,6
concentración,32
poderes,26
declaración,72
estado,1294
guerra,544
172,3
consejos,142
176,4
el,11820
poder,221
judicial,159
183,8
aparato,13
represivo,15
191,5
los,10115
medios,91
comunicación,52
203,3
órganos,31
denuncia,48
internos,15
externos,7
214,3
reiterada,19
condena,52
internacional,171
217,3
iv,39
período,373
a,11801
225,3
227,3
primer,103
231,3
segundo,172
240,7
tercer,30
246,11
v,65
métodos,81
testimonios,874
253,3
255,5
violencia,198
sexual,75
contra,308
mujeres,343
290,3
6,146
vi,161
recintos,705
detención,1215
299,6
301,4
región,720
tarapacá,28
306,4
antofagasta,118
319,3
atacama,17
335,3
coquimbo,17
345,3
valparaiso,1
356,4
del,6205
libertador,11
bernardo,105
ohiggins,18
387,5
vii,43
maule,13
400,6
viii,50
bío,51
418,6
ix,31
araucanía,7
449,2
x,46
lagos,52
468,2
xi,11
aysen,3
general,412
carlos,154
ibáñez,7
campo,127
491,2
xii,19
magallanes,24
antártica,7
chilena,60
498,3
metropolitana,153
511,2
anexo,24
fotos,14
547,2
perfil,47
víctimas,624
557,2
559,2
561,2
según,639
569,2
575,3
menores,61
edad,224
581,2
consecuencias,85
583,2
impacto,42
585,3
en,15573
590,2
trauma,7
duelo,4
611,2
propuestas,36
reparación,113
613,2
615,3
fundamentos,21
616,2
bases,30
para,1884
definir,11
619,2
medidas,143
recomendadas,3
622,2
palabras,24
finales,11
635,1
capítulo,386
8,133
9,114
c,137
onsciente,1
o,2236
inconscientemente,2
una,2428
conspiración,3
silencio,30
se,6407
fue,2362
extendiendo,3
lentamente,2
por,6036
país,373
con,3334
pasar,32
años,1956
muchos,208
creyeron,3
que,11397
si,309
bien,145
malos,69
tratos,92
habían,328
sido,878
comunes,45
prisioneros,822
régimen,269
militar,980
propiamente,10
tal,216
no,2412
había,642
tan,56
masiva,15
sin,1097
embargo,222
quienes,368
torturados,155
más,858
veces,178
también,683
guardaban,2
memoria,47
marcas,8
crueles,17
inhumanos,10
degradantes,15
universal,16
derechos,1143
humanos,949
literalmente,3
les,638
cambiado,4
mutilado,1
vida,349
otros,793
consideraban,6
era,512
justo,21
necesario,64
buscar,18
verdad,91
justicia,212
casos,563
detenidos,1563
desaparecidos,88
ejecutados,200
políticos,456
juicios,10
sumarios,5
e,463
incompletos,1
llamados,29
emblemáticos,1
violaciones,290
pero,385
posible,120
hacer,106
caso,390
cómo,69
podría,29
probar,4
fehacientemente,12
treinta,24
después,415
qué,67
sentido,91
tendría,1
introducirse,2
estos,358
temas,13
cuando,474
pasado,58
hechos,458
parecía,9
lejano,1
confesamos,1
algunas,189
estas,276
dudas,10
aparecieron,17
hasta,795
primeras,19
sesiones,39
establecida,20
presidente,216
república,107
don,55
ricardo,54
escobar,17
su,3717
significativa,8
propuesta,12
materia,69
hay,172
mañana,54
ayer,9
12,169
agosto,67
año,455
2003,18
tiene,106
un,3173
hoy,96
meses,135
escuchar,63
relatos,98
íntimos,2
susurrados,1
relatados,15
dolor,48
llanto,4
ver,75
físicas,74
psicológicas,14
así,363
como,1911
lesiones,41
familiares,418
sociales,71
restituya,1
lo,1513
perdido,7
tanto,193
chileno,37
preso,23
torturado,27
nos,170
asiste,70
menor,83
duda,20
esta,1345
parte,494
debida,6
completar,6
mejor,27
manera,116
le,578
debe,118
hermanos,43
avanzar,8
senda,1
siempre,125
difícil,25
necesaria,13
reencuentro,9
reconciliación,43
entre,734
chilenos,52
mil,22
personas,1197
han,193
desfilado,1
frente,143
nosotros,35
hemos,42
visto,64
escuchado,4
atrevido,3
acercarse,5
nuestras,18
oficinas,21
responder,16
nuestros,18
regiones,78
estupor,3
temor,31
impotencia,11
aún,139
genera,3
dignidad,56
violada,16
agentes,831
espera,18
debería,14
esperarse,2
respeto,73
10,135
protección,55
débiles,1
escrupuloso,1
cumplimiento,71
ley,451
dado,104
cuenta,182
primera,83
persona,234
corrupción,2
es,991
peor,8
corrupciones,1
pues,87
termina,1
minando,1
credibilidad,7
esencial,13
todo,475
ciudadano,17
aguarda,2
instituciones,78
entiende,12
victimarios,9
vez,273
sus,1749
acciones,98
mucho,42
meditar,1
damos,2
basado,4
sólo,311
cuánto,3
aspecto,19
elemental,2
cosa,11
presentarse,40
familia,349
haber,549
detenido,1071
cuesta,20
alegato,2
inocencia,3
cierto,73
orgullo,4
sufrido,114
injusticia,12
sufrimiento,25
causa,356
estimaba,1
noble,3
humano,12
querer,3
mostrarse,1
altivo,1
humillado,2
descorrer,1
velo,1
humillación,10
violación,493
física,60
psicológica,41
algo,26
muy,222
incluso,129
ante,480
propios,35
cónyuges,3
ese,686
mismo,558
comprensible,1
ahondando,1
daño,37
sufrimientos,16
compartidos,1
confidencias,2
ahogadas,1
aquello,3
preferimos,1
poner,31
estantería,1
pesadillas,4
arrancar,4
archivos,24
historia,48
imaginar,2
infamia,1
agresión,46
desprendimiento,1
indecoroso,1
pudor,1
debido,96
toda,232
integridad,37
repetida,3
pretendidas,1
confesiones,15
corriente,63
eléctrica,31
golpes,341
simultáneos,1
oídos,20
conocidos,33
teléfono,62
ingenio,1
malévolo,1
poseemos,1
ensañanos,1
víctima,385
simplemente,15
hacemos,3
ostentación,2
nuestro,28
fin,120
escapa,6
constatar,15
cuántas,4
torturadas,26
tenían,81
sazón,4
24,149
vieron,36
vidas,18
tronchadas,1
familias,106
destruidas,1
recibir,41
progenitores,1
cambiados,1
nervios,1
destruidos,4
temores,5
casi,102
incomprensibles,1
malogradas,1
porque,140
encontra,3
ron,75
ni,385
lugar,882
sociedad,92
esa,436
simple,17
razón,73
tampoco,102
pudieron,55
dar,96
hijos,118
educación,41
salud,75
bienestar,5
al,3152
cual,286
éstos,92
aspiración,1
derecho,278
esto,132
son,306
mismas,39
miran,1
otra,199
habrían,86
podido,98
ser,687
involucradas,5
alguna,167
tenemos,12
diferente,9
obliga,12
reconocer,22
debió,41
reconocido,46
inaceptable,3
vivido,16
proceso,382
enfrentar,12
dolores,23
ha,693
despuntado,1
11,491
miramos,1
ojos,173
futuro,18
puede,169
esperar,15
generosidad,1
mayor,336
acoger,7
integrar,2
nuestra,46
social,121
aquellos,70
descalificación,2
deseamos,2
prolongar,3
páginas,9
darán,2
cabal,12
procuramos,1
resumir,2
nombre,62
todos,405
miembros,166
trabajado,3
prestado,5
generosamente,1
concurso,8
cumplir,30
este,1164
cometido,58
agradecemos,2
corazón,7
esfuerzo,24
compartido,1
sea,74
aporte,5
nunca,143
deseado,2
anhelado,1
apretón,1
manos,172
chile,430
quisiera,5
saldar,2
hermandad,1
tanta,5
deuda,8
pendiente,6
pueblo,36
14,153
origen,28
dio,79
conocer,83
gubernamental,3
denomi,1
nada,69
ésta,101
contenía,6
serie,17
seguir,27
avanzando,2
delicado,6
sanar,3
heridas,203
producidas,8
graves,137
ocurridas,31
septiembre,1315
1973,1903
marzo,85
1990,108
tales,154
encontraba,184
creación,26
establezca,3
rigurosa,4
lista,29
hayan,55
frido,4
privación,84
libertad,400
razones,105
políticas,132
medida,69
concretó,1
