word,frequency
rocky,738
1976,2
movie,3
script,1
by,42
sylvester,1
stallone,1
final,1
draft,1
1776,1
more,41
info,1
about,30
this,88
on,133
imdbcom,1
int,73
blue,8
door,31
fight,59
club,5
night,70
superimpose,1
over,49
action,9
november,1
12,2
1975,1
philadelphia,10
the,1233
itself,1
resembles,5
a,562
large,12
unemptied,1
trashcan,1
boxing,8
ring,39
is,314
extra,2
small,9
to,418
insure,1
constant,1
battle,5
lights,8
overhead,4
have,34
barely,3
enough,6
wattage,1
see,40
who,33
fighting,11
in,251
are,61
two,33
heavyweights,1
one,33
white,18
other,20
black,17
fighter,40
balboa,23
he,221
thirty,10
years,20
old,17
his,227
face,43
scarred,1
and,469
thick,7
around,29
nose,14
hair,7
shines,1
hangs,4
eyes,42
fights,5
plodding,1
machinelike,1
style,7
dances,2
bangs,1
combinations,6
into,67
rockys,74
with,148
great,23
accuracy,2
but,78
punches,5
do,59
not,39
even,8
cause,22
blink,1
grins,2
at,118
opponent,2
keeps,5
grinding,2
ahead,5
people,19
ringside,9
sit,7
folding,1
chairs,2
clamor,2
for,101
blood,16
they,58
lean,2
out,87
of,274
their,24
seats,3
heckle,1
fighters,28
smoke,2
resemble,1
spectres,1
everyone,9
hustling,1
bets,2
heavier,1
balcony,1
housewife,1
yells,6
somebody,5
cover,5
dollar,4
bet,4
bell,18
rings,16
return,2
corner,32
heaves,2
beer,3
can,41
spits,6
something,6
red,12
bucket,2
sneers,1
across,21
cornerman,6
im,85
gonna,37
bust,2
head,18
wide,4
open,10
being,16
assisted,1
shriveled,1
balding,1
an,151
employee,1
works,5
without,9
any,12
enthusiasm,1
lackluster,1
ya,260
waltzin,1
give,25
suckers,1
some,25
hey,27
overriding,2
movin,2
like,92
bum,15
want,30
advice,4
just,25
gimme,12
water,8
2,21
fan,3
rushes,2
up,71
sixtyfive,1
yellow,3
teeth,4
wearing,3
sunglasses,1
should,13
i,324
dont,102
go,30
distance,5
feel,15
strong,1
absolutely,6
good,47
mouthpiece,4
makes,9
sign,4
cross,3
engage,1
grabs,5
clinch,2
purposely,1
butts,1
him,71
butt,1
opens,17
bleeding,1
cut,9
eye,7
becomes,5
furious,2
foul,2
drives,5
flurry,1
mans,8
body,21
slams,5
man,87
jaw,3
fans,17
throw,6
rubbish,1
ignores,3
it,171
loudly,4
collecting,1
referee,6
does,11
bother,8
count,2
drags,3
under,5
ropes,9
where,7
placed,3
stretcher,2
new,10
enter,8
slips,3
tattered,1
robe,5
embroidered,2
clumsily,1
back,31
italian,13
stallion,9
announcer,14
winner,4
next,11
six,9
rounder,1
between,5
local,2
lightweights,1
pomp,1
climbs,4
bums,3
cigarette,3
from,61
spectator,1
passes,16
behind,10
watches,6
moment,11
continues,9
aisle,4
before,12
reaches,4
rear,5
has,49
already,5
begun,1
fades,6
darkness,2
title,3
credits,1
end,12
dressing,22
room,50
nearly,9
completed,3
locker,13
hat,4
also,6
dingy,1
ten,16
taped,3
talk,18
shop,20
3,3
1,26
tomorrow,5
me,99
my,76
woman,10
tip,1
down,36
atlantic,1
city,7
its,46
cold,8
bro,2
thats,28
right,36
got,43
myself,4
another,63
paces,1
nervously,6
shadowbox,1
spit,3
floor,11
young,18
pug,2
combs,1
listens,2
portable,1
radio,2
that,105
blasting,1
music,4
defeated,2
drinking,1
joking,1
three,19
smoking,3
cloudy,1
short,7
fifty,15
enters,24
dressed,5
sweater,3
buttoned,1
tshirt,3
promoter,5
raises,6
steps,31
continuing,70
twenty,7
bucks,7
towel,4
shower,7
seven,9
tax,2
house,13
owes,1
sixtyone,1
dollars,11
peels,2
off,40
money,5
departs,1
closes,3
nods,15
leaves,7
trolley,4
heading,4
south,4
philly,7
empty,2
except,4
thin,2
studies,4
bruised,2
selfconscious,1
almost,12
apologetic,1
4,1
tired,2
yo,43
iz,3
accident,3
ext,33
street,29
exits,14
walks,16
block,5
waves,13
pair,7
highheeled,1
hookers,1
wave,5
sleeping,1
wino,1
curled,1
front,19
dirty,8
bookstore,1
protective,1
passageway,1
further,1
pauses,7
animal,4
town,2
pet,11
peers,2
dark,9
store,2
sees,12
sad,2
huge,7
dog,20
sitting,2
window,13
mumbles,1
apartment,28
while,6
later,17
approaches,12
located,2
most,13
deprived,1
section,1
kicks,2
away,28
litter,4
gathered,1
against,19
hallway,5
narrow,1
painted,1
olive,1
brown,4
single,1
light,13
bulb,1
illuminates,1
gloomy,2
corridor,3
oneroom,2
drab,1
curling,1
poster,3
marciano,3
tacked,2
wall,11
nailed,1
far,5
mattress,2
used,2
as,41
punching,3
bag,12
stuffing,1
spills,1
center,5
drops,7
coat,8
puts,8
glasses,5
crosses,4
turtle,4
bowl,4
lifts,1
creatures,1
look,27
whos,6
home,17
starts,7
boil,1
pan,1
hot,3
plate,2
then,14
places,4
45,2
rpm,1
record,8
battered,2
phonograph,1
tune,1
all,33
game,4
crackling,1
begins,13
picks,3
hairbrush,1
using,1
microphone,4
mimes,2
assumes,2
posture,1
famous,1
singer,1
crooning,1
thousands,2
adoring,1
switches,1
bullish,2
stance,1
throws,7
several,18
boils,1
soaks,1
badlyswollen,1
hands,25
5,1
sunrise,1
skyline,2
dawn,13
we,33
jagged,1
highlighted,1
towering,1
figure,4
william,1
penn,1
rises,6
above,6
haze,1
sits,14
majestically,1
hall,5
docks,2
early,6
morning,8
walking,2
along,6
waterfront,1
bandaid,1
looks,46
rugged,1
stevedores,2
going,9
business,15
stuffs,1
cheap,6
wool,1
jacket,1
ship,2
unloaded,1
mafia,4
types,2
leaning,3
parked,3
car,7
these,9
men,15
drinkers,2
rock,18
hows,7
your,36
boss,3
real,12
fightin,13
again,17
yeah,40
here,43
there,13
mebbe,4
make,20
sum,2
togather,1
soon,4
best,30
shrugs,4
moves,24
nears,1
heavy,9
working,1
crane,2
frightened,4
stops,8
hurries,3
ships,2
hole,4
dashes,1
gangplank,1
day,37
runs,8
past,6
tons,2
stacked,2
crates,1
coffee,3
beans,1
sprints,3
after,19
lunges,1
flings,3
neck,5
cargo,1
fats,11
terrorfilled,1
hit,8
mr,12
gazzo,49
wants,10
hundred,19
now,36
6,1
honest,1
god,2
broke,12
break,13
says,8
get,45
or,14
thumb,8
please,17
need,10
work,9
christ,5
thumbs,1
wits,1
metal,3
hook,9
remains,5
cool,1
goin,18
fishin,1
whats,22
name,15
bob,3
if,27
wanna,19
dance,3
gotta,26
pay,6
band,1
borrow,1
aint,46
emotionally,1
involved,1
determined,2
expression,8
strikes,3
fat,3
quickly,7
fumbles,3
through,22
pockets,1
wad,2
bills,2
counting,1
completely,3
what,76
food,5
stuff,6
7,1
you,194
hand,22
sympathetically,1
flushed,3
juice,4
climbin,2
every,17
week,4
know,28
been,21
workin,1
months,2
damn,7
interest,3
still,17
seventy,1
waits,2
be,83
smart,7
nothin,25
take,24
worth,4
fiftysixty,1
yours,2
removes,14
extends,3
guy,10
gazzos,8
nuthin,2
ill,24
tape,5
wont,8
wise,3
keep,10
well,10
fake,1
suddenly,7
bends,1
knees,1
whisper,2
no,72
releases,2
shock,1
fine,8
coulda,2
happened,4
8,2
very,38
prosperous,1
looking,7
reading,3
todays,1
special,3
mixed,3
kittens,1
150,2
stares,6
lhasa,1
apsa,1
puppies,1
taps,3
whistles,1
girl,18
counter,6
presses,2
impression,1
hunchback,1
notre,1
dame,1
adrian,153
klein,1
she,55
attractive,1
pleasantlooking,1
pulled,3
skinned,1
wears,3
really,9
flirt,1
so,31
painfully,1
shy,6
nothing,3
ever,18
gets,8
started,3
could,11
puppy,2
customer,3
breathe,4
paid,1
whatever,2
her,47
hard,15
snatches,1
takes,13
couple,2
pocket,6
lady,1
9,1
kinda,8
aggravated,1
sorry,3
fault,2
heres,6
problem,4
though,8
charmed,1
slightly,5
intimidated,2
last,14
had,25
moths,3
than,8
flies,1
caught,5
turtles,8
throat,3
them,24
cough,3
owner,10
squat,1
forty,2
gloria,1
was,49
talkin,4
sayin,1
em,9
coughs,1
little,7
smack,2
shell,2
whatta,14
think,40
shellshocked,1
both,13
smile,3
10,1
startin,2
bad,26
jokes,4
today,4
huh,8
inventin,1
easy,2
cage,3
inside,9
butkus,5
mornin,5
time,20
check,3
jumps,4
happy,6
dead,5
play,6
plays,3
bullmastiff,1
suppose,5
pick,3
weeks,3
ago,6
were,15
responsible,1
animals,2
left,17
days,1
board,2
shelter,1
yknow,23
clean,2
those,3
cat,1
cages,2
downstairs,1
theyre,6
mess,2
goodbye,1
lehigh,1
st,1
train,8
trestle,1
11,1
moving,2
guard,3
seat,7
only,19
hes,26
rest,2
patiently,1
sure,22
bobs,1
collect,1
del,1
rio,1
late,7
howd,4
bodyguard,21
mirror,9
smiles,24
did,24
license,1
number,2
wa,1
truck,1
run,8
beckons,2
job,9
how,37
come,20
didnt,12
guys,19
asked,3
when,19
told,3
kid,17
thrown,1
outta,17
cant,26
matter,10
reputation,4
killer,5
rocks,4
emotionless,1
meatbag,1
pull,2
gym,46
strolls,2
goldmills,14
way,13
familiar,3
exchanges,1
irishman,1
soft,2
pretzel,1
stand,9
rudy,4
apparent,2
prize,1
blind,2
mentally,1
defective,1
nah,1
apollo,142
creed,67
beat,9
pieces,1
extint,1
