word,frequency
informe,498
comisión,2263
nacional,796
sobre,957
prisión,546
política,827
y,11409
tortura,896
5,165
índice,1
capitulo,22
i,55
presentación,22
7,83
ii,119
funcionamiento,80
de,37455
la,16836
13,154
15,154
marco,47
jurídico,41
conceptos,19
definiciones,34
17,160
estructura,22
26,119
procesos,77
trabajo,206
37,33
desarrollo,50
las,5418
tareas,35
48,26
resultados,20
79,4
anexos,46
89,4
iii,56
contexto,83
167,3
introducción,35
169,6
concentración,17
poderes,26
declaración,60
estado,1215
guerra,465
172,3
consejos,125
176,4
el,10386
poder,207
judicial,129
183,8
aparato,13
represivo,15
191,5
los,9240
medios,90
comunicación,51
203,3
órganos,31
denuncia,36
internos,12
externos,7
214,3
reiterada,16
condena,31
internacional,169
217,3
iv,36
período,371
a,10658
225,3
227,3
primer,94
231,3
segundo,156
240,7
tercer,26
246,11
v,64
métodos,81
testimonios,839
253,3
255,5
violencia,190
sexual,75
contra,290
mujeres,313
290,3
6,126
vi,153
recintos,698
detención,1137
299,6
301,4
región,674
tarapacá,24
306,4
antofagasta,116
319,3
atacama,14
335,3
coquimbo,16
345,3
valparaiso,1
356,4
del,5619
libertador,9
bernardo,93
ohiggins,17
387,5
vii,43
maule,12
400,4
viii,48
bío,43
418,6
ix,30
araucanía,7
449,2
x,44
lagos,46
468,2
xi,11
aysen,2
general,342
carlos,114
ibáñez,7
campo,100
491,2
xii,19
magallanes,23
antártica,7
chilena,43
498,3
metropolitana,150
511,2
anexo,24
fotos,8
547,2
perfil,47
víctimas,586
557,2
559,2
561,2
según,579
569,2
575,3
menores,58
edad,204
581,2
consecuencias,84
583,2
impacto,40
585,3
en,14044
590,2
trauma,7
duelo,2
611,2
propuestas,34
reparación,109
613,2
615,3
fundamentos,21
616,2
bases,27
para,1648
definir,11
619,2
medidas,143
recomendadas,3
622,2
palabras,20
finales,11
635,1
capítulo,385
8,121
9,105
c,126
onsciente,1
o,2162
inconscientemente,2
una,2165
conspiración,3
silencio,23
se,5846
fue,2131
extendiendo,3
lentamente,2
por,5425
país,340
con,2991
pasar,24
años,1756
muchos,191
creyeron,2
que,10167
si,270
bien,134
malos,68
tratos,84
habían,285
sido,820
comunes,43
prisioneros,757
régimen,255
militar,893
propiamente,10
tal,194
no,2172
había,527
tan,45
masiva,15
sin,990
embargo,197
quienes,332
torturados,144
más,733
veces,168
también,620
guardaban,2
memoria,14
marcas,7
crueles,14
inhumanos,10
degradantes,11
universal,16
derechos,1088
humanos,893
literalmente,3
les,568
cambiado,3
mutilado,1
vida,314
otros,731
consideraban,5
era,423
justo,20
necesario,61
buscar,15
verdad,74
justicia,168
casos,541
detenidos,1476
desaparecidos,64
ejecutados,177
políticos,403
juicios,10
sumarios,5
e,413
incompletos,1
llamados,28
emblemáticos,1
violaciones,282
pero,296
posible,113
hacer,92
caso,336
cómo,44
podría,23
probar,2
fehacientemente,12
treinta,19
después,350
qué,50
sentido,90
tendría,1
introducirse,2
estos,315
temas,13
cuando,384
pasado,42
hechos,423
parecía,6
lejano,1
confesamos,1
algunas,178
estas,255
dudas,10
aparecieron,15
hasta,692
primeras,16
sesiones,38
establecida,18
presidente,198
república,104
don,26
ricardo,45
escobar,16
su,3322
significativa,8
propuesta,12
materia,69
hay,133
mañana,40
ayer,6
12,156
agosto,52
año,405
2003,14
tiene,77
un,2738
hoy,58
meses,125
escuchar,62
relatos,76
íntimos,1
susurrados,1
relatados,15
dolor,42
llanto,2
ver,64
físicas,72
psicológicas,14
así,325
como,1722
lesiones,41
familiares,379
sociales,67
restituya,1
lo,1265
perdido,4
tanto,171
chileno,25
preso,15
torturado,24
nos,124
asiste,70
menor,73
duda,18
esta,1277
parte,451
debida,6
completar,3
mejor,23
manera,108
le,442
debe,108
hermanos,41
avanzar,8
senda,1
siempre,110
difícil,24
necesaria,13
reencuentro,7
reconciliación,34
entre,649
chilenos,50
mil,13
personas,1123
han,172
desfilado,1
frente,126
nosotros,17
hemos,37
visto,59
escuchado,3
atrevido,2
acercarse,4
nuestras,11
